state,month,energySource,powerGenerated
CT,3,Solar Thermal and Photovoltaic,42329
CT,3,Total,3814222
CT,3,Wind,1389
DC,3,Natural Gas,11324
DC,3,Other,5144
DC,3,Solar Thermal and Photovoltaic,2854
DC,3,Total,19322
DE,3,Coal,7834
DE,3,Natural Gas,132535
DE,3,Other,28009
DE,3,Solar Thermal and Photovoltaic,14758
DE,3,Total,183311
DE,3,Wind,175
FL,3,Coal,260395
FL,3,Hydroelectric Conventional,22126
FL,3,Natural Gas,14683369
FL,3,Other,2615764
FL,3,Solar Thermal and Photovoltaic,1566222
FL,3,Total,19147876
GA,3,Coal,856302
GA,3,Hydroelectric Conventional,317628
GA,3,Natural Gas,3758962
GA,3,Other,4150056
GA,3,Solar Thermal and Photovoltaic,656782
GA,3,Total,9739729
HI,3,Hydroelectric Conventional,10020
HI,3,Other,571692
HI,3,Solar Thermal and Photovoltaic,52266
HI,3,Total,702425
HI,3,Wind,68448
IA,3,Coal,500030
IA,3,Hydroelectric Conventional,69866
IA,3,Natural Gas,488599
IA,3,Other,19521
IA,3,Solar Thermal and Photovoltaic,46976
IA,3,Total,6163223
IA,3,Wind,5038230
ID,3,Coal,0
ID,3,Hydroelectric Conventional,728366
ID,3,Natural Gas,469236
ID,3,Other,51439
ID,3,Solar Thermal and Photovoltaic,70160
ID,3,Total,1582789
ID,3,Wind,263588
IL,3,Coal,1681132
IL,3,Hydroelectric Conventional,7571
IL,3,Natural Gas,2069227
IL,3,Other,8145009
IL,3,Solar Thermal and Photovoltaic,213078
IL,3,Total,15037143
IL,3,Wind,2921124
IN,3,Coal,2451791
IN,3,Hydroelectric Conventional,46486
IN,3,Natural Gas,3146213
IN,3,Other,144813
IN,3,Solar Thermal and Photovoltaic,182968
IN,3,Total,7141932
IN,3,Wind,1169662
KS,3,Coal,460281
KS,3,Hydroelectric Conventional,645
KS,3,Natural Gas,392326
KS,3,Other,798454
KS,3,Solar Thermal and Photovoltaic,6349
KS,3,Total,4704238
KS,3,Wind,3046183
KY,3,Coal,3380571
KY,3,Hydroelectric Conventional,410927
KY,3,Natural Gas,677013
KY,3,Other,34895
KY,3,Solar Thermal and Photovoltaic,13213
KY,3,Total,4516619
LA,3,Coal,252974
LA,3,Hydroelectric Conventional,73557
LA,3,Natural Gas,5214051
LA,3,Other,1459894
LA,3,Solar Thermal and Photovoltaic,57308
LA,3,Total,7057784
MA,3,Coal,0
MA,3,Hydroelectric Conventional,125417
MA,3,Natural Gas,1402805
MA,3,Other,93734
MA,3,Solar Thermal and Photovoltaic,183900
MA,3,Total,1825419
MA,3,Wind,19564
MD,3,Coal,121837
MD,3,Hydroelectric Conventional,297026
MD,3,Natural Gas,787609
MD,3,Other,1295124
MD,3,Solar Thermal and Photovoltaic,90305
MD,3,Total,2659921
MD,3,Wind,68020
ME,3,Coal,4842
ME,3,Hydroelectric Conventional,373527
ME,3,Natural Gas,361727
ME,3,Other,156435
ME,3,Solar Thermal and Photovoltaic,75485
ME,3,Total,1288714
ME,3,Wind,316697
MI,3,Coal,970358
MI,3,Hydroelectric Conventional,115995
MI,3,Natural Gas,4240553
MI,3,Other,2175587
MI,3,Solar Thermal and Photovoltaic,137249
MI,3,Total,8733217
MI,3,Wind,1093475
MN,3,Coal,708552
MN,3,Hydroelectric Conventional,62995
MN,3,Natural Gas,1271168
MN,3,Other,1136687
MN,3,Solar Thermal and Photovoltaic,193508
MN,3,Total,4999091
MN,3,Wind,1626183
MO,3,Coal,2097925
MO,3,Hydroelectric Conventional,95325
MO,3,Natural Gas,547270
MO,3,Other,940644
MO,3,Solar Thermal and Photovoltaic,14965
MO,3,Total,4563799
MO,3,Wind,867671
MS,3,Coal,225451
MS,3,Natural Gas,3857516
MS,3,Other,152051
MS,3,Solar Thermal and Photovoltaic,63917
MS,3,Total,4298935
MT,3,Coal,785993
MT,3,Hydroelectric Conventional,755540
MT,3,Natural Gas,68142
MT,3,Other,66600
MT,3,Solar Thermal and Photovoltaic,27899
MT,3,Total,2128300
MT,3,Wind,424125
NC,3,Coal,1093366
NC,3,Hydroelectric Conventional,483722
NC,3,Natural Gas,3247603
NC,3,Other,3719707
NC,3,Solar Thermal and Photovoltaic,997320
NC,3,Total,9603166
NC,3,Wind,61448
ND,3,Coal,1967648
ND,3,Hydroelectric Conventional,178898
ND,3,Natural Gas,226354
ND,3,Other,10997
ND,3,Total,3796818
ND,3,Wind,1412920
NE,3,Coal,1060571
NE,3,Hydroelectric Conventional,97703
NE,3,Natural Gas,55778
NE,3,Other,602807
NE,3,Solar Thermal and Photovoltaic,6364
NE,3,Total,3132108
NE,3,Wind,1308885
NH,3,Coal,6783
NH,3,Hydroelectric Conventional,167547
NH,3,Natural Gas,244627
NH,3,Other,1005714
NH,3,Solar Thermal and Photovoltaic,299
NH,3,Total,1475422
NH,3,Wind,50452
NJ,3,Coal,0
NJ,3,Hydroelectric Conventional,1771
NJ,3,Natural Gas,1758492
NJ,3,Other,2615846
NJ,3,Solar Thermal and Photovoltaic,148368
NJ,3,Total,4526884
NJ,3,Wind,2407
NM,3,Coal,527772
NM,3,Hydroelectric Conventional,17717
NM,3,Natural Gas,918052
NM,3,Other,2482
NM,3,Solar Thermal and Photovoltaic,277927
NM,3,Total,3267094
NM,3,Wind,1523143
NV,3,Coal,165161
NV,3,Hydroelectric Conventional,148883
NV,3,Natural Gas,1651889
NV,3,Other,355230
NV,3,Solar Thermal and Photovoltaic,819988
NV,3,Total,3180045
